16541A0306,R1631036,THEORY OF MACHINES LAB,S,2
16541A0306,R1631037,MACHINE TOOLS LAB,O,2
16541A0306,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0307,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0307,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16541A0307,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0307,R1631034,OPERATIONS RESEARCH,D,3
16541A0307,R1631035,THERMAL ENGINEERING -II,F,0
16541A0307,R1631036,THEORY OF MACHINES LAB,S,2
16541A0307,R1631037,MACHINE TOOLS LAB,S,2
16541A0307,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0308,R1631031,DYNAMICS OF MACHINERY,A,3
16541A0308,R1631032,METAL CUTTING & MACHINE TOOLS,A,3
16541A0308,R1631033,DESIGN OF MACHINE MEMBERS-II,B,3
16541A0308,R1631034,OPERATIONS RESEARCH,D,3
16541A0308,R1631035,THERMAL ENGINEERING -II,B,3
16541A0308,R1631036,THEORY OF MACHINES LAB,O,2
16541A0308,R1631037,MACHINE TOOLS LAB,O,2
16541A0308,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0309,R1631031,DYNAMICS OF MACHINERY,B,3
16541A0309,R1631032,METAL CUTTING & MACHINE TOOLS,B,3
16541A0309,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16541A0309,R1631034,OPERATIONS RESEARCH,A,3
16541A0309,R1631035,THERMAL ENGINEERING -II,S,3
16541A0309,R1631036,THEORY OF MACHINES LAB,O,2
16541A0309,R1631037,MACHINE TOOLS LAB,O,2
16541A0309,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0310,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0310,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16541A0310,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0310,R1631034,OPERATIONS RESEARCH,F,0
16541A0310,R1631035,THERMAL ENGINEERING -II,F,0
16541A0310,R1631036,THEORY OF MACHINES LAB,S,2
16541A0310,R1631037,MACHINE TOOLS LAB,S,2
16541A0310,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0311,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0311,R1631032,METAL CUTTING & MACHINE TOOLS,C,3
16541A0311,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0311,R1631034,OPERATIONS RESEARCH,C,3
16541A0311,R1631035,THERMAL ENGINEERING -II,C,3
16541A0311,R1631036,THEORY OF MACHINES LAB,O,2
16541A0311,R1631037,MACHINE TOOLS LAB,O,2
16541A0311,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0313,R1631031,DYNAMICS OF MACHINERY,C,3
16541A0313,R1631032,METAL CUTTING & MACHINE TOOLS,D,3
16541A0313,R1631033,DESIGN OF MACHINE MEMBERS-II,C,3
16541A0313,R1631034,OPERATIONS RESEARCH,C,3
16541A0313,R1631035,THERMAL ENGINEERING -II,C,3
16541A0313,R1631036,THEORY OF MACHINES LAB,O,2
16541A0313,R1631037,MACHINE TOOLS LAB,S,2
16541A0313,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0314,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0314,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0314,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16541A0314,R1631034,OPERATIONS RESEARCH,D,3
16541A0314,R1631035,THERMAL ENGINEERING -II,F,0
16541A0314,R1631036,THEORY OF MACHINES LAB,B,2
16541A0314,R1631037,MACHINE TOOLS LAB,B,2
16541A0314,R1631038,THERMAL ENGINEERING LAB,B,2
16541A0315,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0315,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0315,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0315,R1631034,OPERATIONS RESEARCH,D,3
16541A0315,R1631035,THERMAL ENGINEERING -II,F,0
16541A0315,R1631036,THEORY OF MACHINES LAB,S,2
16541A0315,R1631037,MACHINE TOOLS LAB,A,2
16541A0315,R1631038,THERMAL ENGINEERING LAB,S,2
16541A0316,R1631031,DYNAMICS OF MACHINERY,B,3
16541A0316,R1631032,METAL CUTTING & MACHINE TOOLS,B,3
16541A0316,R1631033,DESIGN OF MACHINE MEMBERS-II,D,3
16541A0316,R1631034,OPERATIONS RESEARCH,B,3
16541A0316,R1631035,THERMAL ENGINEERING -II,B,3
16541A0316,R1631036,THEORY OF MACHINES LAB,O,2
16541A0316,R1631037,MACHINE TOOLS LAB,O,2
16541A0316,R1631038,THERMAL ENGINEERING LAB,O,2
16541A0317,R1631031,DYNAMICS OF MACHINERY,F,0
16541A0317,R1631032,METAL CUTTING & MACHINE TOOLS,F,0
16541A0317,R1631033,DESIGN OF MACHINE MEMBERS-II,F,0
16541A0317,R1631034,OPERATIONS RESEARCH,F,0
16541A0317,R1631035,THERMAL ENGINEERING -II,F,0
16541A0317,R1631036,THEORY OF MACHINES LAB,A,2
